label	kind	id	name	atom_type
Liver enzymes	node	N1	Liver enzymes	ConceptNode
used in evaluation of	node	N2	used in evaluation of	PredicateNode
Patient	node	N3	Patient	ConceptNode
Disease	node	N4	Disease	ConceptNode
provide information on	node	N5	provide information on	PredicateNode
Primary disorder	node	N6	Primary disorder	ConceptNode
Hepatitic origin	node	N7	Hepatitic origin	ConceptNode
Cholestatic origin	node	N8	Cholestatic origin	ConceptNode
Enzyme ratios	node	N9	Enzyme ratios	ConceptNode
Pattern recognition	node	N10	Pattern recognition	ConceptNode
extract information from	node	N11	extract information from	PredicateNode
improve investigation of	node	N12	improve investigation of	PredicateNode
improve management of	node	N13	improve management of	PredicateNode
Liver disease	node	N14	Liver disease	ConceptNode
Liver Function Tests	node	N15	Liver Function Tests	ConceptNode
used as screening for	node	N16	used as screening for	PredicateNode
Blood test	node	N17	Blood test	ConceptNode
SENT_1	node	N18	SENT_1	ConceptNode
1900-01-01	node	N19	1900-01-01	TimestampNode
Bilirubin	node	N20	Bilirubin	ConceptNode
Albumin	node	N21	Albumin	ConceptNode
Liver functional capacity	node	N22	Liver functional capacity	ConceptNode
Disease activity	node	N23	Disease activity	ConceptNode
Blood analysis	node	N24	Blood analysis	ConceptNode
Hepatitic disorder	node	N25	Hepatitic disorder	ConceptNode
Cholestatic disorder	node	N26	Cholestatic disorder	ConceptNode
provides information on	node	N27	provides information on	PredicateNode
offers information on	node	N28	offers information on	PredicateNode
evaluates	node	N29	evaluates	PredicateNode
indicates origin	node	N30	indicates origin	PredicateNode
interpreted by	node	N31	interpreted by	PredicateNode
SENT_2	node	N32	SENT_2	ConceptNode
SENT_3	node	N33	SENT_3	ConceptNode
Hepatic enzymes	node	N34	Hepatic enzymes	ConceptNode
Liver enzyme profile	node	N35	Liver enzyme profile	ConceptNode
History and clinical examination	node	N36	History and clinical examination	ConceptNode
Alcoholic fatty liver disease	node	N37	Alcoholic fatty liver disease	ConceptNode
Non-alcoholic fatty liver disease	node	N38	Non-alcoholic fatty liver disease	ConceptNode
Cholestasis	node	N39	Cholestasis	ConceptNode
Hepatitis	node	N40	Hepatitis	ConceptNode
Mixed liver disease picture	node	N41	Mixed liver disease picture	ConceptNode
Diagnosis	node	N42	Diagnosis	ConceptNode
Pattern of hepatic enzymes	node	N43	Pattern of hepatic enzymes	ConceptNode
Absolute liver enzyme levels and ratios	node	N44	Absolute liver enzyme levels and ratios	ConceptNode
differentiates	node	N45	differentiates	PredicateNode
assists	node	N46	assists	PredicateNode
aids	node	N47	aids	PredicateNode
points	node	N48	points	PredicateNode
should_be_assessed_with	node	N49	should_be_assessed_with	PredicateNode
SENT_4	node	N50	SENT_4	SentenceNode
Mechanical biliary obstruction	node	N51	Mechanical biliary obstruction	ConceptNode
Choledocholithiasis	node	N52	Choledocholithiasis	ConceptNode
Stricture forming disease	node	N53	Stricture forming disease	ConceptNode
Hepatobiliary source	node	N54	Hepatobiliary source	ConceptNode
Alkaline phosphatase (ALP)	node	N55	Alkaline phosphatase (ALP)	ConceptNode
Gamma-glutamyl transferase (GGT)	node	N56	Gamma-glutamyl transferase (GGT)	ConceptNode
Alanine aminotransferase (ALT)	node	N57	Alanine aminotransferase (ALT)	ConceptNode
Liver transaminases	node	N58	Liver transaminases	ConceptNode
Enzyme titres	node	N59	Enzyme titres	ConceptNode
increases	node	N60	increases	PredicateNode
fluctuates	node	N61	fluctuates	PredicateNode
signifies	node	N62	signifies	PredicateNode
requires	node	N63	requires	PredicateNode
peaked rise	node	N64	peaked rise	PredicateNode
Monitoring	node	N65	Monitoring	ConceptNode
SENT_5	node	N66	SENT_5	SentenceNode
AST:ALT ratio	node	N67	AST:ALT ratio	ConceptNode
De Ritis ratio	node	N68	De Ritis ratio	ConceptNode
Biliary obstruction	node	N69	Biliary obstruction	ConceptNode
Cholestatic picture	node	N70	Cholestatic picture	ConceptNode
<1.5	node	N71	<1.5	NumberNode
Extrahepatic obstruction	node	N72	Extrahepatic obstruction	ConceptNode
ALT	node	N73	ALT	ConceptNode
AST	node	N74	AST	ConceptNode
>1.5	node	N75	>1.5	NumberNode
Intrahepatic cholestasis	node	N76	Intrahepatic cholestasis	ConceptNode
Mechanical cholestasis	node	N77	Mechanical cholestasis	ConceptNode
Medical cholestasis	node	N78	Medical cholestasis	ConceptNode
Drug-induced cholestasis	node	N79	Drug-induced cholestasis	ConceptNode
ALP	node	N80	ALP	ConceptNode
GGT	node	N81	GGT	ConceptNode
<2	node	N82	<2	NumberNode
Antibiotics	node	N83	Antibiotics	ConceptNode
Immunosuppressants	node	N84	Immunosuppressants	ConceptNode
Tricyclic antidepressants	node	N85	Tricyclic antidepressants	ConceptNode
Angiotensin converting enzyme inhibitors	node	N86	Angiotensin converting enzyme inhibitors	ConceptNode
suggests	node	N87	suggests	PredicateNode
indicates	node	N88	indicates	PredicateNode
presents_with	node	N89	presents_with	PredicateNode
causes	node	N90	causes	PredicateNode
higher_than	node	N91	higher_than	PredicateNode
rise	node	N92	rise	PredicateNode
Primary Biliary Cirrhosis	node	N93	Primary Biliary Cirrhosis	ConceptNode
Autoimmune condition	node	N94	Autoimmune condition	ConceptNode
Intrahepatic biliary ducts	node	N95	Intrahepatic biliary ducts	ConceptNode
Alkaline phosphatase	node	N96	Alkaline phosphatase	ConceptNode
Gamma-glutamyl transferase	node	N97	Gamma-glutamyl transferase	ConceptNode
Transaminases	node	N98	Transaminases	ConceptNode
Cholestatic liver enzyme levels	node	N99	Cholestatic liver enzyme levels	ConceptNode
Antimitochondrial antibodies	node	N100	Antimitochondrial antibodies	ConceptNode
Diagnosis of Primary Biliary Cirrhosis	node	N101	Diagnosis of Primary Biliary Cirrhosis	ConceptNode
Imaging	node	N102	Imaging	ConceptNode
Liver biopsy	node	N103	Liver biopsy	ConceptNode
European Association for Study of the Liver	node	N104	European Association for Study of the Liver	ConceptNode
American Association for Study of Liver Disease	node	N105	American Association for Study of Liver Disease	ConceptNode
greater_than	node	N106	greater_than	PredicateNode
