,tail_id,score,tail_label,relation
0,31,54.92136001586914,Alcohol,[action]:causes:[agent]
1,11,46.709197998046875,>2.5/ratio,[action]:causes:[agent]
2,44,39.9749870300293,Bone marrow suppression,[action]:causes:[agent]
3,608,27.521923065185547,ursodeoxycholic acid,[action]:causes:[agent]
4,567,25.36189079284668,consider alternative causes/string,[action]:causes:[agent]
5,232,25.134143829345703,[biomarker]:not_reflects:[target],[action]:causes:[agent]
6,81,24.450769424438477,Jaundice,[action]:causes:[agent]
7,450,23.89080810546875,[fact_arg->fact_arg]:implies:[fact_arg->agent],[action]:causes:[agent]
8,39,23.79056167602539,Antibiotics,[action]:causes:[agent]
9,93,23.1637020111084,Mayo Risk Score,[action]:causes:[agent]
10,56,22.646696090698242,Disease progression in PSC,[action]:causes:[agent]
11,68,22.50366973876953,GGT:ALP ratio,[action]:causes:[agent]
12,78,22.082372665405273,Immunosuppressants,[action]:causes:[agent]
13,566,21.47528076171875,combination with other factors or models,[action]:causes:[agent]
14,20,21.143211364746094,AST production,[action]:causes:[agent]
15,71,20.97870445251465,Hepatic enzymes,[action]:causes:[agent]
16,59,20.743301391601562,Endoscopic Retrograde Cholangiopancreatography,[action]:causes:[agent]
17,214,20.54566192626953,[agent]:requires_monitoring:[action],[action]:causes:[agent]
18,136,19.494998931884766,Tricyclic antidepressants,[action]:causes:[agent]
19,539,19.16727638244629,[target]:reflects:[biomarker],[action]:causes:[agent]
20,82,19.078086853027344,Liver Function Tests,[action]:causes:[agent]
21,195,18.8282527923584,[agent]:observational:[context],[action]:causes:[agent]
22,17,18.53373146057129,ALT titre is considerably higher than AST,[action]:causes:[agent]
23,433,18.35955047607422,[fact_arg->fact_arg->condition]:implies:[fact_arg],[action]:causes:[agent]
24,240,18.35129737854004,[biomarker]:suggests:[delta],[action]:causes:[agent]
25,130,18.316909790039062,Scoring system,[action]:causes:[agent]
26,546,17.542396545410156,[target]:requires_monitoring:[agent],[action]:causes:[agent]
27,178,17.408105850219727,[agent]:greater_than:[comparator],[action]:causes:[agent]
28,529,17.197162628173828,[target]:observational:[condition],[action]:causes:[agent]
29,122,16.94762420654297,SENT_3,[action]:causes:[agent]
30,476,16.887971878051758,[fact_arg]:implies:[fact_arg->agent],[action]:causes:[agent]
31,117,16.682361602783203,SENT_12,[action]:causes:[agent]
32,95,16.420644760131836,Mechanical cholestasis,[action]:causes:[agent]
33,75,16.360591888427734,Hyperglycemia,[action]:causes:[agent]
34,531,16.167264938354492,[target]:observational:[delta],[action]:causes:[agent]
35,104,14.94904899597168,Nutritionally-deficient heavy-drinkers,[action]:causes:[agent]
36,38,14.751852035522461,Angiotensin converting enzyme inhibitors,[action]:causes:[agent]
37,286,14.68124008178711,[condition]:diagnostic_for:[evidence_source],[action]:causes:[agent]
38,90,14.41897964477539,Macrocytosis,[action]:causes:[agent]
39,55,13.82916259765625,Disease activity,[action]:causes:[agent]
40,570,13.699016571044922,diagnosis,[action]:causes:[agent]
41,200,13.631067276000977,[agent]:observational_association:[condition],[action]:causes:[agent]
42,376,13.596023559570312,[evidence_source]:observational:[delta],[action]:causes:[agent]
43,399,13.503997802734375,[fact_arg->agent]:implies:[fact_arg],[action]:causes:[agent]
44,16,13.257753372192383,ALT titre,[action]:causes:[agent]
