id,type,child_ids,tv_strength,tv_confidence
ANON_262,ListLink,SENT_13|ANON_3,1.0,0.0
ANON_263,ListLink,SENT_9|ANON_153,1.0,0.0
ANON_264,ListLink,SENT_8|ANON_169,1.0,0.0
ANON_265,ListLink,SENT_7|ANON_5,1.0,0.0
ANON_266,ListLink,SENT_5|ANON_6,1.0,0.0
ANON_267,ListLink,SENT_3|ANON_20,1.0,0.0
ANON_268,ListLink,SENT_2|ANON_126,1.0,0.0
ANON_269,ListLink,SENT_1|ANON_170,1.0,0.0
ANON_270,ListLink,N193|N221,1.0,0.0
ANON_271,ListLink,N225|N193|N224|N144,1.0,0.0
ANON_272,ListLink,N221|N4,1.0,0.0
ANON_273,ListLink,N221|N223|N144,1.0,0.0
ANON_274,ListLink,SENT_6|ANON_51,1.0,0.0
ANON_275,ListLink,N215|N222|N193,1.0,0.0
ANON_276,ListLink,N215|N217|N218|N219|N220|N21|N221,1.0,0.0
ANON_277,ListLink,N201|N204,1.0,0.0
ANON_278,ListLink,N19|SENT_7,1.0,0.0
ANON_279,ListLink,N119|N121|N115,1.0,0.0
ANON_280,ListLink,N115|N95,1.0,0.0
ANON_281,ListLink,N104|N105|N42|N99|N100,1.0,0.0
ANON_282,ListLink,N51|N80,1.0,0.0
ANON_283,ListLink,N115,1.0,0.0
ANON_284,ListLink,N151|N149,1.0,0.0
ANON_285,ListLink,N79|N74,1.0,0.0
ANON_286,ListLink,N79|N73,1.0,0.0
ANON_287,ListLink,N15|N23,1.0,0.0
ANON_288,ListLink,N79|N80,1.0,0.0
ANON_290,ListLink,L174|ANON_9|ANON_137,1.0,0.0
ANON_291,ListLink,N84|N79,1.0,0.0
ANON_292,ListLink,N79|N184,1.0,0.0
ANON_293,ListLink,N44|N42,1.0,0.0
ANON_294,ListLink,N118|N74|N80|N117|N114|N115,1.0,0.0
ANON_295,ListLink,N74|N132,1.0,0.0
ANON_296,ListLink,N73|N74,1.0,0.0
ANON_297,ListLink,N67|N75|N77,1.0,0.0
ANON_298,ListLink,N200|N191|N192|N42,1.0,0.0
ANON_299,ListLink,N42|N99|N100,1.0,0.0
ANON_300,ListLink,SENT_15|ANON_1,1.0,0.0
ANON_301,ListLink,SENT_10|ANON_40,1.0,0.0
ANON_302,ListLink,N80|N97|N115,1.0,0.0
ANON_303,ListLink,N67|N75|N70|N72,1.0,0.0
ANON_304,ListLink,N125|N42|N126,1.0,0.0
ANON_305,ListLink,N59,1.0,0.0
ANON_306,ListLink,N86|N79,1.0,0.0
ANON_307,ListLink,N125|N25|N26,1.0,0.0
ANON_308,ListLink,N20|N22,1.0,0.0
ANON_309,ListLink,N83|N79,1.0,0.0
ANON_310,ListLink,N15|N180,1.0,0.0
ANON_311,ListLink,N15|N17,1.0,0.0
ANON_312,ListLink,N19|SENT_15,1.0,0.0
ANON_313,ListLink,N19|SENT_13,1.0,0.0
ANON_314,ListLink,N67|N69,1.0,0.0
ANON_315,ListLink,N67|N133,1.0,0.0
ANON_317,ListLink,L115|N103,1.0,0.0
ANON_318,ListLink,N85|N79,1.0,0.0
ANON_319,ListLink,N19|SENT_5,1.0,0.0
ANON_320,ListLink,N51|N20,1.0,0.0
ANON_321,ListLink,N200|N205,1.0,0.0
ANON_322,ListLink,N119|N116,1.0,0.0
ANON_323,ListLink,N74|N174,1.0,0.0
ANON_324,ListLink,N42|N199|N103,1.0,0.0
ANON_325,ListLink,N125|N3|N4,1.0,0.0
ANON_326,ListLink,N42|N102|N103,1.0,0.0
ANON_327,ListLink,N81|N80|N134|N135,1.0,0.0
ANON_329,ListLink,L173|ANON_9|ANON_82,1.0,0.0
ANON_330,ListLink,N21|N22,1.0,0.0
ANON_331,ListLink,N43|N39|N40,1.0,0.0
ANON_332,ListLink,N225|N67,1.0,0.0
ANON_333,ListLink,N80|N97|N54,1.0,0.0
ANON_334,ListLink,N67|N184|N153,1.0,0.0
ANON_335,ListLink,N125|N6|N25|N26,1.0,0.0
ANON_336,ListLink,N67|N75|N76,1.0,0.0
ANON_337,ListLink,N9|N10|N125,1.0,0.0
ANON_338,ListLink,N35|N36,1.0,0.0
ANON_339,ListLink,N67|N184|N182,1.0,0.0
ANON_340,ListLink,N98|N115,1.0,0.0
ANON_341,ListLink,N19|SENT_4,1.0,0.0
ANON_342,ListLink,SENT_4|ANON_70,1.0,0.0
ANON_343,ListLink,N181|N67|N225,1.0,0.0
ANON_344,ListLink,N73|N197,1.0,0.0
ANON_345,ListLink,N52|N80|N97,1.0,0.0
ANON_346,ListLink,N15|N9|N10,1.0,0.0
ANON_347,ListLink,N51|N97,1.0,0.0
ANON_348,ListLink,N73|N174,1.0,0.0
ANON_350,ListLink,L42|ANON_30|ANON_149,1.0,0.0
ANON_351,ListLink,N150|N149,1.0,0.0
ANON_352,ListLink,N97|N177,1.0,0.0
ANON_353,ListLink,N146|N147|N148|N145|N14,1.0,0.0
ANON_354,ListLink,N19|SENT_12,1.0,0.0
ANON_355,ListLink,N125|N180,1.0,0.0
ANON_356,ListLink,N19|N129|SENT_7,1.0,0.0
ANON_357,ListLink,N43|N42|N41,1.0,0.0
ANON_358,ListLink,N131|N126,1.0,0.0
ANON_359,ListLink,N99|N100,1.0,0.0
ANON_361,ListLink,L117|ANON_11|ANON_46,1.0,0.0
ANON_362,ListLink,N149|N153,1.0,0.0
ANON_363,ListLink,N15|N24,1.0,0.0
