#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.NamedEntityexactmatch|value


#Text=Mechanical biliary obstruction results in raised levels of ALP, GGT and often bilirubin.
1-1	0-10	Mechanical	DISEASE_OR_SYNDROME_T047[1]
1-2	11-18	biliary	DISEASE_OR_SYNDROME_T047[1]
1-3	19-30	obstruction	DISEASE_OR_SYNDROME_T047[1]
1-4	31-38	results	_
1-5	39-41	in	_
1-6	42-48	raised	FINDING_T033[2]
1-7	49-55	levels	FINDING_T033[2]
1-8	56-58	of	FINDING_T033[2]
1-9	59-62	ALP	FINDING_T033[2]
1-10	62-63	,	FINDING_T033[2]
1-11	64-67	GGT	FINDING_T033[2]
1-12	68-71	and	FINDING_T033[2]
1-13	72-77	often	FINDING_T033[2]
1-14	78-87	bilirubin	FINDING_T033[2]
1-15	87-88	.	_

#Text=ALP will usually be markedly raised in comparison with ALT.
2-1	89-92	ALP	FINDING_T033[3]
2-2	93-97	will	FINDING_T033[3]
2-3	98-105	usually	FINDING_T033[3]
2-4	106-108	be	FINDING_T033[3]
2-5	109-117	markedly	FINDING_T033[3]
2-6	118-124	raised	FINDING_T033[3]
2-7	125-127	in	FINDING_T033[3]
2-8	128-138	comparison	FINDING_T033[3]
2-9	139-143	with	FINDING_T033[3]
2-10	144-147	ALT	FINDING_T033[3]
2-11	147-148	.	_

#Text=Levels of ALP and GGT elevated in similar proportions signify a hepatobiliary source.
3-1	149-155	Levels	FINDING_T033[4]
3-2	156-158	of	FINDING_T033[4]
3-3	159-162	ALP	FINDING_T033[4]
3-4	163-166	and	FINDING_T033[4]
3-5	167-170	GGT	FINDING_T033[4]
3-6	171-179	elevated	FINDING_T033[4]
3-7	180-182	in	FINDING_T033[4]
3-8	183-190	similar	FINDING_T033[4]
3-9	191-202	proportions	FINDING_T033[4]
3-10	203-210	signify	_
3-11	211-212	a	_
3-12	213-226	hepatobiliary	DISEASE_OR_SYNDROME_T047[5]
3-13	227-233	source	DISEASE_OR_SYNDROME_T047[5]
3-14	233-234	.	_

#Text=Otherwise alternative causes of single enzyme elevation should be considered.
4-1	235-244	Otherwise	_
4-2	245-256	alternative	_
4-3	257-263	causes	_
4-4	264-266	of	_
4-5	267-273	single	FINDING_T033[6]
4-6	274-280	enzyme	FINDING_T033[6]
4-7	281-290	elevation	FINDING_T033[6]
4-8	291-297	should	_
4-9	298-300	be	_
4-10	301-311	considered	_
4-11	311-312	.	_

#Text=When due to choledocholithiasis, the levels of ALP and GGT tend to fluctuate (in comparison to stricture forming disease) and may be associated with a normal bilirubin.
5-1	313-317	When	_
5-2	318-321	due	_
5-3	322-324	to	_
5-4	325-344	choledocholithiasis	DISEASE_OR_SYNDROME_T047[7]
5-5	344-345	,	_
5-6	346-349	the	FINDING_T033[8]
5-7	350-356	levels	FINDING_T033[8]
5-8	357-359	of	FINDING_T033[8]
5-9	360-363	ALP	FINDING_T033[8]
5-10	364-367	and	FINDING_T033[8]
5-11	368-371	GGT	FINDING_T033[8]
5-12	372-376	tend	FINDING_T033[8]
5-13	377-379	to	FINDING_T033[8]
5-14	380-389	fluctuate	FINDING_T033[8]
5-15	390-391	(	FINDING_T033[8]
5-16	391-393	in	FINDING_T033[8]
5-17	394-404	comparison	FINDING_T033[8]
5-18	405-407	to	FINDING_T033[8]
5-19	408-417	stricture	FINDING_T033[8]
5-20	418-425	forming	FINDING_T033[8]
5-21	426-433	disease	FINDING_T033[8]
5-22	433-434	)	FINDING_T033[8]
5-23	435-438	and	_
5-24	439-442	may	_
5-25	443-445	be	_
5-26	446-456	associated	_
5-27	457-461	with	_
5-28	462-463	a	_
5-29	464-470	normal	FINDING_T033[9]
5-30	471-480	bilirubin	FINDING_T033[9]
5-31	480-481	.	_

#Text=Enzyme titres tend to rise and fall gradually and may be preceded by a peaked rise in liver transaminases which can reach > 1000I/U.
6-1	482-488	Enzyme	FINDING_T033[10]
6-2	489-495	titres	FINDING_T033[10]
6-3	496-500	tend	FINDING_T033[10]
6-4	501-503	to	FINDING_T033[10]
6-5	504-508	rise	FINDING_T033[10]
6-6	509-512	and	FINDING_T033[10]
6-7	513-517	fall	FINDING_T033[10]
6-8	518-527	gradually	FINDING_T033[10]
6-9	528-531	and	_
6-10	532-535	may	_
6-11	536-538	be	_
6-12	539-547	preceded	_
6-13	548-550	by	_
6-14	551-552	a	_
6-15	553-559	peaked	FINDING_T033[11]
6-16	560-564	rise	FINDING_T033[11]
6-17	565-567	in	FINDING_T033[11]
6-18	568-573	liver	FINDING_T033[11]
6-19	574-587	transaminases	FINDING_T033[11]
6-20	588-593	which	FINDING_T033[11]
6-21	594-597	can	FINDING_T033[11]
6-22	598-603	reach	FINDING_T033[11]
6-23	604-605	>	FINDING_T033[11]
6-24	606-614	1000I/U.	FINDING_T033[11]

#Text=The AST:ALT ratio (De Ritis ratio) may assist in differentiating the site of biliary obstruction.
7-1	615-618	The	_
7-2	619-622	AST	LABORATORY_PROCEDURE_T059[12]
7-3	622-623	:	LABORATORY_PROCEDURE_T059[12]
7-4	623-626	ALT	LABORATORY_PROCEDURE_T059[12]
7-5	627-632	ratio	LABORATORY_PROCEDURE_T059[12]
7-6	633-634	(	_
7-7	634-636	De	LABORATORY_PROCEDURE_T059[13]
7-8	637-642	Ritis	LABORATORY_PROCEDURE_T059[13]
7-9	643-648	ratio	LABORATORY_PROCEDURE_T059[13]
7-10	648-649	)	_
7-11	650-653	may	_
7-12	654-660	assist	_
7-13	661-663	in	_
7-14	664-679	differentiating	_
7-15	680-683	the	_
7-16	684-688	site	_
7-17	689-691	of	_
7-18	692-699	biliary	DISEASE_OR_SYNDROME_T047[14]
7-19	700-711	obstruction	DISEASE_OR_SYNDROME_T047[14]
7-20	711-712	.	_

#Text=When associated with a cholestatic picture, an AST:ALT ratio of <1.5 suggests an extrahepatic obstruction.
8-1	713-717	When	_
8-2	718-728	associated	_
8-3	729-733	with	_
8-4	734-735	a	_
8-5	736-747	cholestatic	FINDING_T033[15]
8-6	748-755	picture	FINDING_T033[15]
8-7	755-756	,	_
8-8	757-759	an	_
8-9	760-763	AST	FINDING_T033[16]
8-10	763-764	:	FINDING_T033[16]
8-11	764-767	ALT	FINDING_T033[16]
8-12	768-773	ratio	FINDING_T033[16]
8-13	774-776	of	FINDING_T033[16]
8-14	777-778	<	FINDING_T033[16]
8-15	778-781	1.5	FINDING_T033[16]
8-16	782-790	suggests	_
8-17	791-793	an	_
8-18	794-806	extrahepatic	DISEASE_OR_SYNDROME_T047[17]
8-19	807-818	obstruction	DISEASE_OR_SYNDROME_T047[17]
8-20	818-819	.	_

#Text=In such circumstances the ALT titre is frequently considerably higher than AST.
9-1	820-822	In	_
9-2	823-827	such	_
9-3	828-841	circumstances	_
9-4	842-845	the	_
9-5	846-849	ALT	FINDING_T033[18]
9-6	850-855	titre	FINDING_T033[18]
9-7	856-858	is	FINDING_T033[18]
9-8	859-869	frequently	FINDING_T033[18]
9-9	870-882	considerably	FINDING_T033[18]
9-10	883-889	higher	FINDING_T033[18]
9-11	890-894	than	FINDING_T033[18]
9-12	895-898	AST	FINDING_T033[18]
9-13	898-899	.	_

#Text=An AST:ALT ratio of > 1.5 indicates intrahepatic (mechanical or medical) cholestasis is more likely.
10-1	900-902	An	_
10-2	903-906	AST	FINDING_T033[19]
10-3	906-907	:	FINDING_T033[19]
10-4	907-910	ALT	FINDING_T033[19]
10-5	911-916	ratio	FINDING_T033[19]
10-6	917-919	of	FINDING_T033[19]
10-7	920-921	>	FINDING_T033[19]
10-8	922-925	1.5	FINDING_T033[19]
10-9	926-935	indicates	_
10-10	936-948	intrahepatic	DISEASE_OR_SYNDROME_T047[20]
10-11	949-950	(	DISEASE_OR_SYNDROME_T047[20]
10-12	950-960	mechanical	DISEASE_OR_SYNDROME_T047[20]
10-13	961-963	or	DISEASE_OR_SYNDROME_T047[20]
10-14	964-971	medical	DISEASE_OR_SYNDROME_T047[20]
10-15	971-972	)	DISEASE_OR_SYNDROME_T047[20]
10-16	973-984	cholestasis	DISEASE_OR_SYNDROME_T047[20]
10-17	985-987	is	_
10-18	988-992	more	_
10-19	993-999	likely	_
10-20	999-1000	.	_

#Text=Drug-induced cholestasis usually presents with a preferential rise in ALP, rather than GGT, or with an ALT:ALP ratio of<2.
11-1	1001-1013	Drug-induced	DISEASE_OR_SYNDROME_T047[21]
11-2	1014-1025	cholestasis	DISEASE_OR_SYNDROME_T047[21]
11-3	1026-1033	usually	_
11-4	1034-1042	presents	_
11-5	1043-1047	with	_
11-6	1048-1049	a	_
11-7	1050-1062	preferential	FINDING_T033[22]
11-8	1063-1067	rise	FINDING_T033[22]
11-9	1068-1070	in	FINDING_T033[22]
11-10	1071-1074	ALP	FINDING_T033[22]
11-11	1074-1075	,	FINDING_T033[22]
11-12	1076-1082	rather	FINDING_T033[22]
11-13	1083-1087	than	FINDING_T033[22]
11-14	1088-1091	GGT	FINDING_T033[22]
11-15	1091-1092	,	_
11-16	1093-1095	or	_
11-17	1096-1100	with	_
11-18	1101-1103	an	_
11-19	1104-1107	ALT	FINDING_T033[23]
11-20	1107-1108	:	FINDING_T033[23]
11-21	1108-1111	ALP	FINDING_T033[23]
11-22	1112-1117	ratio	FINDING_T033[23]
11-23	1118-1122	of<2	FINDING_T033[23]
11-24	1122-1123	.	_

#Text=Causative drugs would include: antibiotics, immunosuppressants, tricyclic antidepressants and angiotensin converting enzyme inhibitors.
12-1	1124-1133	Causative	_
12-2	1134-1139	drugs	_
12-3	1140-1145	would	_
12-4	1146-1153	include	_
12-5	1153-1154	:	_
12-6	1155-1166	antibiotics	_
12-7	1166-1167	,	_
12-8	1168-1186	immunosuppressants	_
12-9	1186-1187	,	_
12-10	1188-1197	tricyclic	_
12-11	1198-1213	antidepressants	_
12-12	1214-1217	and	_
12-13	1218-1229	angiotensin	_
12-14	1230-1240	converting	_
12-15	1241-1247	enzyme	_
12-16	1248-1258	inhibitors	_
12-17	1258-1259	.	_

#Text=In Primary Biliary Cirrhosis, an autoimmune condition of the intrahepatic biliary ducts, the level of ALP is generally greater than that of GGT.
13-1	1260-1262	In	_
13-2	1263-1270	Primary	DISEASE_OR_SYNDROME_T047[24]
13-3	1271-1278	Biliary	DISEASE_OR_SYNDROME_T047[24]
13-4	1279-1288	Cirrhosis	DISEASE_OR_SYNDROME_T047[24]
13-5	1288-1289	,	_
13-6	1290-1292	an	_
13-7	1293-1303	autoimmune	_
13-8	1304-1313	condition	_
13-9	1314-1316	of	_
13-10	1317-1320	the	_
13-11	1321-1333	intrahepatic	_
13-12	1334-1341	biliary	_
13-13	1342-1347	ducts	_
13-14	1347-1348	,	_
13-15	1349-1352	the	FINDING_T033[25]
13-16	1353-1358	level	FINDING_T033[25]
13-17	1359-1361	of	FINDING_T033[25]
13-18	1362-1365	ALP	FINDING_T033[25]
13-19	1366-1368	is	FINDING_T033[25]
13-20	1369-1378	generally	FINDING_T033[25]
13-21	1379-1386	greater	FINDING_T033[25]
13-22	1387-1391	than	FINDING_T033[25]
13-23	1392-1396	that	FINDING_T033[25]
13-24	1397-1399	of	FINDING_T033[25]
13-25	1400-1403	GGT	FINDING_T033[25]
13-26	1403-1404	.	_

#Text=In this case, transaminases are invariably normal or only minimally elevated.
14-1	1405-1407	In	_
14-2	1408-1412	this	_
14-3	1413-1417	case	_
14-4	1417-1418	,	_
14-5	1419-1432	transaminases	FINDING_T033[26]
14-6	1433-1436	are	FINDING_T033[26]
14-7	1437-1447	invariably	FINDING_T033[26]
14-8	1448-1454	normal	FINDING_T033[26]
14-9	1455-1457	or	FINDING_T033[26]
14-10	1458-1462	only	FINDING_T033[26]
14-11	1463-1472	minimally	FINDING_T033[26]
14-12	1473-1481	elevated	FINDING_T033[26]
14-13	1481-1482	.	_

#Text=If either of these two criteria is absent, imaging and liver biopsy become necessary.
15-1	1483-1485	If	_
15-2	1486-1492	either	_
15-3	1493-1495	of	_
15-4	1496-1501	these	_
15-5	1502-1505	two	_
15-6	1506-1514	criteria	_
15-7	1515-1517	is	_
15-8	1518-1524	absent	_
15-9	1524-1525	,	_
15-10	1526-1533	imaging	DIAGNOSTIC_PROCEDURE_T060[27]
15-11	1534-1537	and	_
15-12	1538-1543	liver	DIAGNOSTIC_PROCEDURE_T060[28]
15-13	1544-1550	biopsy	DIAGNOSTIC_PROCEDURE_T060[28]
15-14	1551-1557	become	_
15-15	1558-1567	necessary	_
15-16	1567-1568	.	_

#Text=AST and ALP are used within some scoring criteria to monitor the effects of ursodeoxycholic acid in the management of PBC.
16-1	1569-1572	AST	LABORATORY_PROCEDURE_T059[29]
16-2	1573-1576	and	_
16-3	1577-1580	ALP	LABORATORY_PROCEDURE_T059[30]
16-4	1581-1584	are	_
16-5	1585-1589	used	_
16-6	1590-1596	within	_
16-7	1597-1601	some	_
16-8	1602-1609	scoring	_
16-9	1610-1618	criteria	_
16-10	1619-1621	to	_
16-11	1622-1629	monitor	_
16-12	1630-1633	the	_
16-13	1634-1641	effects	_
16-14	1642-1644	of	_
16-15	1645-1660	ursodeoxycholic	_
16-16	1661-1665	acid	_
16-17	1666-1668	in	_
16-18	1669-1672	the	_
16-19	1673-1683	management	_
16-20	1684-1686	of	_
16-21	1687-1690	PBC	DISEASE_OR_SYNDROME_T047[31]
16-22	1690-1691	.	_

#Text=A recent study has shown that a raised AST:ALT ratio outperforms other non-histological indicators of cirrhosis in PBC, but still only achieves a low sensitivity and a specificity of 65-79%.
17-1	1692-1693	A	_
17-2	1694-1700	recent	_
17-3	1701-1706	study	_
17-4	1707-1710	has	_
17-5	1711-1716	shown	_
17-6	1717-1721	that	_
17-7	1722-1723	a	_
17-8	1724-1730	raised	FINDING_T033[32]
17-9	1731-1734	AST	FINDING_T033[32]
17-10	1734-1735	:	FINDING_T033[32]
17-11	1735-1738	ALT	FINDING_T033[32]
17-12	1739-1744	ratio	FINDING_T033[32]
17-13	1745-1756	outperforms	_
17-14	1757-1762	other	_
17-15	1763-1779	non-histological	_
17-16	1780-1790	indicators	_
17-17	1791-1793	of	_
17-18	1794-1803	cirrhosis	DISEASE_OR_SYNDROME_T047[33]
17-19	1804-1806	in	_
17-20	1807-1810	PBC	DISEASE_OR_SYNDROME_T047[34]
17-21	1810-1811	,	_
17-22	1812-1815	but	_
17-23	1816-1821	still	_
17-24	1822-1826	only	_
17-25	1827-1835	achieves	_
17-26	1836-1837	a	_
17-27	1838-1841	low	_
17-28	1842-1853	sensitivity	_
17-29	1854-1857	and	_
17-30	1858-1859	a	_
17-31	1860-1871	specificity	_
17-32	1872-1874	of	_
17-33	1875-1877	65	_
17-34	1877-1878	-	_
17-35	1878-1880	79	_
17-36	1880-1881	%	_
17-37	1881-1882	.	_

#Text=As with PBC, liver enzymes play a key role in the diagnosis of Primary Sclerosing Cholangitis (PSC).
18-1	1883-1885	As	_
18-2	1886-1890	with	_
18-3	1891-1894	PBC	DISEASE_OR_SYNDROME_T047[35]
18-4	1894-1895	,	_
18-5	1896-1901	liver	_
18-6	1902-1909	enzymes	_
18-7	1910-1914	play	_
18-8	1915-1916	a	_
18-9	1917-1920	key	_
18-10	1921-1925	role	_
18-11	1926-1928	in	_
18-12	1929-1932	the	_
18-13	1933-1942	diagnosis	_
18-14	1943-1945	of	_
18-15	1946-1953	Primary	DISEASE_OR_SYNDROME_T047[36]
18-16	1954-1964	Sclerosing	DISEASE_OR_SYNDROME_T047[36]
18-17	1965-1976	Cholangitis	DISEASE_OR_SYNDROME_T047[36]
18-18	1977-1978	(	_
18-19	1978-1981	PSC	DISEASE_OR_SYNDROME_T047[37]
18-20	1981-1982	)	_
18-21	1982-1983	.	_

#Text=Alcohol induces hepatic enzymes leading to a raised GGT with an ALP which may be normal, or disproportionately lower than the GGT.
19-1	1984-1991	Alcohol	_
19-2	1992-1999	induces	_
19-3	2000-2007	hepatic	_
19-4	2008-2015	enzymes	_
19-5	2016-2023	leading	_
19-6	2024-2026	to	_
19-7	2027-2028	a	_
19-8	2029-2035	raised	FINDING_T033[38]
19-9	2036-2039	GGT	FINDING_T033[38]
19-10	2040-2044	with	FINDING_T033[38]
19-11	2045-2047	an	FINDING_T033[38]
19-12	2048-2051	ALP	FINDING_T033[38]
19-13	2052-2057	which	FINDING_T033[38]
19-14	2058-2061	may	FINDING_T033[38]
19-15	2062-2064	be	FINDING_T033[38]
19-16	2065-2071	normal	FINDING_T033[38]
19-17	2071-2072	,	FINDING_T033[38]
19-18	2073-2075	or	FINDING_T033[38]
19-19	2076-2094	disproportionately	FINDING_T033[38]
19-20	2095-2100	lower	FINDING_T033[38]
19-21	2101-2105	than	FINDING_T033[38]
19-22	2106-2109	the	FINDING_T033[38]
19-23	2110-2113	GGT	FINDING_T033[38]
19-24	2113-2114	.	_

#Text=A GGT: ALP ratio > 2.5 in association with jaundice suggests alcohol as a cause of liver disease.
20-1	2115-2116	A	_
20-2	2117-2120	GGT	FINDING_T033[39]
20-3	2120-2121	:	FINDING_T033[39]
20-4	2122-2125	ALP	FINDING_T033[39]
20-5	2126-2131	ratio	FINDING_T033[39]
20-6	2132-2133	>	FINDING_T033[39]
20-7	2134-2137	2.5	FINDING_T033[39]
20-8	2138-2140	in	_
20-9	2141-2152	association	_
20-10	2153-2157	with	_
20-11	2158-2166	jaundice	DISEASE_OR_SYNDROME_T047[40]
20-12	2167-2175	suggests	_
20-13	2176-2183	alcohol	_
20-14	2184-2186	as	_
20-15	2187-2188	a	_
20-16	2189-2194	cause	_
20-17	2195-2197	of	_
20-18	2198-2203	liver	DISEASE_OR_SYNDROME_T047[41]
20-19	2204-2211	disease	DISEASE_OR_SYNDROME_T047[41]
20-20	2211-2212	.	_

#Text=The presence of a macrocytosis, due to either an associated dietary deficiency of folate or B12, or due to a direct suppression of bone marrow by alcohol is supportive of the diagnosis of alcoholic liver disease.
21-1	2213-2216	The	_
21-2	2217-2225	presence	_
21-3	2226-2228	of	_
21-4	2229-2230	a	_
21-5	2231-2243	macrocytosis	DISEASE_OR_SYNDROME_T047[42]
21-6	2243-2244	,	_
21-7	2245-2248	due	_
21-8	2249-2251	to	_
21-9	2252-2258	either	_
21-10	2259-2261	an	_
21-11	2262-2272	associated	_
21-12	2273-2280	dietary	FINDING_T033[43]
21-13	2281-2291	deficiency	FINDING_T033[43]
21-14	2292-2294	of	FINDING_T033[43]
21-15	2295-2301	folate	FINDING_T033[43]
