Test Name,Normal Range,Normal Change,Sharp Change
WBC,"4,000 – 10,000 /µL",Circadian ±0.5–0.8×10³; ≤25 % day‑day,±25 % in 24 h or >11×10³ persistent
Neutrophils (absolute),"2,500 – 7,000 /µL",±10–20 % day‑day,">25 % rise or ANC <1,500"
Lymphocytes,"1,000 – 4,800 /µL",±25 %,"<1,000 or >4,800"
Monocytes,200 – 800 /µL,±25 %,">1,000 /µL"
Eosinophils,<500 /µL,Mild diurnal drift,>500 /µL
Basophils,<300 /µL,Negligible,>300 /µL
RBC,♀ 4.0–5.4×10⁶ /µL; ♂ 4.5–6.1×10⁶ /µL,~1 %/day turnover,≥10 % fall or Hb ↓>1 g/dL
Hemoglobin,♀ 11.5–15.5 g/dL; ♂ 13–17 g/dL,<1 % day‑day,≥10 % acute drop
Hematocrit,♀ 36–48 %; ♂ 40–55 %,±1–2 % hydration,↓3 % (≈1 U blood) or ≥10 % fall
MCV,80–100 fL,Essentially static,Shift >10 fL
MCH,27–31 pg,<1 %,±3–5 pg
MCHC,32–36 g/dL,Stable,±>10 %
RDW,12–15 %,Near‑zero acute,>15 %
Platelets,"150,000 – 400,000 /µL",<10 % daily,Δ>25 % or <150k
MPV,7–9 fL,±5 % after exercise,Change >1 fL
Fasting Glucose,70–100 mg/dL,Post‑meal rise clears <2 h,≥126 mg/dL fasting or >200 mg/dL random
BUN,6–20 mg/dL,±10–20 %,>40 mg/dL or ↑>10 mg/dL/day
Creatinine,0.6–1.3 mg/dL,<0.1 mg/dL day‑day,↑≥0.3 mg/dL in 48 h
Sodium,135–145 mEq/L,≤5–6 mEq/L /24 h,Δ>10–12 mEq/L /24 h
Potassium,3.7–5.2 mEq/L,<0.2 mEq/L,<3.0 or >5.5; rise >0.5 mEq/L h
Chloride,96–106 mEq/L,<3 mEq/L,<90 or >110 mEq/L
CO₂ (HCO₃⁻),23–29 mEq/L,±2 mEq/L diurnal,<20 or >30 mEq/L
Calcium (total),8.5–10.2 mg/dL,<0.2 mg/dL,<8 or >11 mg/dL
Albumin,3.4–5.4 g/dL,<5 %,<3 g/dL
Total Protein,6.0–8.3 g/dL,<0.2 g/dL,<5.5 or >8.5 g/dL
ALT,4–36 U/L,Stable,>3×ULN (~120 U/L)
AST,8–33 U/L,Stable,>3×ULN
ALP,20–130 U/L,<10 %,>2–3×ULN
Total Bilirubin,0.1–1.2 mg/dL,<0.2 mg/dL,>2 mg/dL
Total Cholesterol,<200 mg/dL,Seasonal ±5 %,≥240 mg/dL or Δ>50 mg/dL
LDL‑C,<100 mg/dL,Slow (weeks‑months),≥190 mg/dL or Δ>50 %
HDL‑C,≥40 mg/dL men; ≥50 mg/dL women,Slow lifestyle‑linked,<40 or >90 mg/dL
Triglycerides,<150 mg/dL fasting,Post‑meal may double,≥500 mg/dL (risk)
CRP (high‑sens),<3 mg/L,<1 mg/L day‑day,>10 mg/L
ESR,♀<20 mm/h; ♂<15 mm/h,Slow (weeks),>2×ULN
HbA1c,4–5.6 %,0.1 %/month drift,≥6.5 % or rise >0.5 %/3 mo
Resting Heart Rate,60–100 bpm,±3–5 bpm,Persistent >100 bpm or <50 symptomatic
Heart‑rate Recovery (1 min),≥12 bpm drop,±3 bpm,<12 bpm drop
Body‑Mass Index,18.5–24.9 kg/m²,±0.5–1 kg/week,>2 kg/week gain or sudden loss
Daily Step Count,"5,000–10,000 steps","±2,000 steps","<3,000 or >15,000"
Respiration Rate (rest),12–20 breaths/min,Stays in band,<8 or >25 breaths/min
Blood Oxygen (SpO₂),≥95 %,±2 %,<88 %
Serum Copper (Cu),63–140 µg/dL,±10 µg/dL,<50 µg/dL or >200 µg/dL / ↑≥50 % wks
Serum Iron,♂50–150 µg/dL; ♀35–145 µg/dL,Diurnal ±30 %,<30 or >180 µg/dL / ±50 % in <24 h
TIBC,250–450 µg/dL,Slow (weeks),>450 or <200 µg/dL
Serum Folate,>4 ng/mL,Flat; weeks,<2 ng/mL or ↓≥50 %/mo
Serum Zinc,60–120 µg/dL,±10 %,<50 or >150 µg/dL
Serum Urea,17–43 mg/dL,±10 %,Rise>10 mg/dL/day or >60 mg/dL total
eGFR,≥90 mL/min/1.73 m²,Aging −1 mL/min/yr,<60 or ↓≥25 % /15 mL in <7 d
Free T3,2.0–4.4 pg/mL,≤0.2 pg/mL,<2.0 or >4.4 pg/mL
Free T4,0.9–1.7 ng/dL,≤0.1 ng/dL,<0.8 or >1.8 ng/dL / Δ≥0.3 ng/dL days
Plateletcrit (PCT),0.22–0.24 %,Constant,<0.20 % or >0.36 % / Δ≥0.05 %/48 h
PDW,9–17 %,±1 %,>17 % or sudden ↑
NRBC,0 /µL,Absent,Any NRBCs detected
LUC,0–0.4×10³ /µL,0 or tiny blip,>0.4×10³ /µL or persistent +
Non‑HDL Cholesterol,<130 mg/dL,Slow (weeks‑months),≥160 mg/dL or acute +30 mg/dL
Neutrophil : Lymphocyte Ratio,1–3,±0.5,>3 persistent or jump >1/24 h
BASO %,0–1 %,±5 %,Swing ≥10 % points/day
EOS %,1–4 %,±5 %,Swing ≥10 % points/day
NEU %,55–70 %,±5 %,Swing ≥10 % points/day
LYM %,20–40 %,±5 %,Swing ≥10 % points/day
MONO %,2–8 %,±5 %,Swing ≥10 % points/day
