Test Name,Normal Range,Normal Change,Sharp Change
Apolipoprotein A‑I,♂ 110–180 mg/dL; ♀ 120–220 mg/dL,Slow (months) with lifestyle/statins ±5 %,<100 mg/dL (low HDL function) or ↓ >15 %/year
Apolipoprotein B,<90 mg/dL (ideal),Slow; ±5 %,≥130 mg/dL (very high) or ↑ >20 %/year
Lipoprotein(a),<30 mg/dL,Genetically fixed – minimal change,>50 mg/dL (high atherothrombotic risk)
VLDL Cholesterol (direct),5–30 mg/dL,Parallels TG; ±20 % post‑prandial,≥40 mg/dL or sudden doubling
Magnesium (Serum),1.7–2.4 mg/dL,±0.1 mg/dL,<1.3 mg/dL or >4 mg/dL
Phosphate (Serum),2.5–4.5 mg/dL,±0.3 mg/dL diurnal,<2 mg/dL or >6 mg/dL
Ionized Calcium,1.12–1.32 mmol/L,±0.05 mmol/L,<1.0 or >1.5 mmol/L
Ionized Magnesium,0.45–0.60 mmol/L,±0.02 mmol/L,<0.40 or >0.90 mmol/L
Anion Gap (calc.),8–12 mEq/L,±2 mEq/L,>16 mEq/L (high‑AG acidosis) or <4 mEq/L
Gamma‑glutamyl Transferase (GGT),9–48 U/L,Minimal daily,>3×ULN (>150 U/L)
Lactate Dehydrogenase (LDH),135–225 U/L,Stable,>2×ULN
"Creatine Kinase (CK, total)",♀ 20–140 U/L; ♂ 30–170 U/L,Exercise ↑ <3×ULN 24 h,>5×ULN or rising trend
CK‑MB,<5 ng/mL or <3 % of CK,None in health,>5 ng/mL or >5 % CK
High‑Sensitivity Troponin I,<0.04 ng/mL,"Undetectable, minimal",≥0.04 ng/mL *or* serial ↑ >20 %
High‑Sensitivity Troponin T,<0.014 ng/mL,Undetectable,≥0.014 ng/mL or rising serial trend
NT‑proBNP (<75 y),<125 pg/mL,±10 pg/mL,≥300 pg/mL
Amylase (Serum),30–110 U/L,Stable,>3×ULN (~>330 U/L)
Lipase (Serum),0–160 U/L,Stable,>3×ULN (~>480 U/L)
Uric Acid (Serum),♂ 3.4–7.0 mg/dL; ♀ 2.4–6.0 mg/dL,±0.5 mg/dL,>8 mg/dL or ↑ >2 mg/dL acute
D‑dimer,<0.5 µg/mL FEU,Low baseline,>0.5 µg/mL or rapid doubling
Fibrinogen,200–400 mg/dL,±10 %,<100 or >600 mg/dL
Procalcitonin,<0.05 ng/mL,Undetectable,≥0.5 ng/mL (possible sepsis)
Lactate (Serum),0.5–2.0 mmol/L,±0.2 mmol/L,≥4 mmol/L
Prothrombin Time (INR),0.8–1.2,±0.1,>3 or <0.5
Activated Partial Thromboplastin Time (aPTT),25–35 s,±3 s,>60 s or <20 s
Serum Osmolality,275–295 mOsm/kg,±3 mOsm,<270 or >310 mOsm/kg
